home_team_name,away_team_name,match_date,home_team_score,away_team_score,total_goals,is_knockout_stage,home_team_mean_goals,away_team_mean_goals,home_team_mean_conceded,away_team_mean_conceded
West Germany,Bulgaria,1970-06-07,5,2,7,False,2.1129032258064515,0.8461538461538461,1.2419354838709677,2.0384615384615383
Soviet Union,El Salvador,1970-06-10,2,0,2,False,1.7096774193548387,0.16666666666666666,1.096774193548387,3.6666666666666665
Sweden,Uruguay,1970-06-10,1,0,1,False,1.5686274509803921,1.5084745762711864,1.4313725490196079,1.2881355932203389
Brazil,Romania,1970-06-10,3,2,5,False,2.0789473684210527,1.4285714285714286,0.9473684210526315,1.5238095238095237
West Germany,Peru,1970-06-10,3,1,4,False,2.1129032258064515,1.1666666666666667,1.2419354838709677,1.8333333333333333
Mexico,Belgium,1970-06-11,1,0,1,False,1.0333333333333334,1.3529411764705883,1.6833333333333333,1.4509803921568627
Italy,Israel,1970-06-11,0,0,0,False,1.5421686746987953,0.3333333333333333,0.927710843373494,1.0
England,Czechia,1970-06-11,1,0,1,False,1.4054054054054055,1.4242424242424243,0.918918918918919,1.4848484848484849
Bulgaria,Morocco,1970-06-11,1,1,2,False,0.8461538461538461,0.8695652173913043,2.0384615384615383,1.173913043478261
Brazil,Peru,1970-06-14,4,2,6,True,2.0789473684210527,1.1666666666666667,0.9473684210526315,1.8333333333333333
Italy,Mexico,1970-06-14,4,1,5,True,1.5421686746987953,1.0333333333333334,0.927710843373494,1.6833333333333333
Soviet Union,Uruguay,1970-06-14,0,1,1,True,1.7096774193548387,1.5084745762711864,1.096774193548387,1.2881355932203389
West Germany,England,1970-06-14,3,2,5,True,2.1129032258064515,1.4054054054054055,1.2419354838709677,0.918918918918919
Brazil,Uruguay,1970-06-17,3,1,4,True,2.0789473684210527,1.5084745762711864,0.9473684210526315,1.2881355932203389
Italy,West Germany,1970-06-17,4,3,7,True,1.5421686746987953,2.1129032258064515,0.927710843373494,1.2419354838709677
West Germany,Uruguay,1970-06-20,1,0,1,True,2.1129032258064515,1.5084745762711864,1.2419354838709677,1.2881355932203389
